"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","RGB2_Plant_AREA_MM","RGB2_Plant_PERIMETER_MM","RGB2_Plant_COMPACTNESS","RGB2_Plant_SOL"
"9/4/2023",24,"L2_C_1","L2","Control","RGB2",3301.705816,1410.010565,0.09507208,111.4217639
"9/4/2023",24,"L8_D_6","L8","Drought","RGB2",4175.252162,1756.028614,0.077026894,137.9021419
"9/4/2023",24,"L4_C_9","L4","Control","RGB2",3856.645444,1491.730819,0.101953101,123.3238193
"9/4/2023",24,"L9_C_15","L9","Control","RGB2",2452.867205,1255.860723,0.099769497,119.1568012
"9/4/2023",24,"L2_D_4","L2","Drought","RGB2",2054.671481,875.4982737,0.174623466,64.83222414
"9/4/2023",24,"L6_D_16","L6","Drought","RGB2",4730.831173,1989.733943,0.06277865,174.4905339
"9/4/2023",24,"L9_C_7","L9","Control","RGB2",5598.726813,2169.993174,0.074627219,185.5103556
"9/4/2023",24,"L9_C_3","L9","Control","RGB2",1731.287344,945.6740342,0.08001104,97.36519739
"9/4/2023",24,"L9_C_8","L9","Control","RGB2",2970.574216,1412.475348,0.080479875,124.5307193
"9/4/2023",24,"L9_C_4","L9","Control","RGB2",2828.625998,1128.909657,0.204146888,80.69534951
"9/4/2023",24,"L1_C_13","L1","Control","RGB2",6827.615056,1952.178688,0.095350882,112.5505234
"9/4/2023",24,"L8_D_1","L8","Drought","RGB2",3331.637088,1479.633403,0.077115415,125.5584577
"9/4/2023",24,"L1_D_5","L1","Drought","RGB2",8253.907436,2035.339442,0.102573575,106.1191311
"9/4/2023",24,"L8_C_12","L8","Control","RGB2",4753.666934,1889.411437,0.068877794,137.5839662
"9/4/2023",24,"L7_C_14","L7","Control","RGB2",3593.16777,1547.691018,0.073024359,132.3575755
"9/4/2023",24,"L1_C_3","L1","Control","RGB2",5689.225385,1857.664141,0.116874171,114.6500194
"9/4/2023",24,"L7_D_8","L7","Drought","RGB2",2521.48166,1198.18215,0.112568656,118.1116901
"9/4/2023",24,"L6_C_4","L6","Control","RGB2",3141.079368,1128.946823,0.194261214,87.40973401
"9/4/2023",24,"L9_C_16","L9","Control","RGB2",3339.586474,1181.805247,0.104131003,80.37605832
"9/4/2023",24,"L1_C_8","L1","Control","RGB2",4556.896519,1411.671846,0.115430044,89.39462866
"9/4/2023",24,"L1_D_12","L1","Drought","RGB2",3076.720268,1533.405062,0.069056202,138.6765744
"9/4/2023",24,"L3_C_7","L3","Control","RGB2",4910.235471,2017.078917,0.076086127,164.3053552
"9/4/2023",24,"L9_C_17","L9","Control","RGB2",3242.187576,1398.21417,0.071035001,105.4741736
"9/4/2023",24,"L8_D_3","L8","Drought","RGB2",3032.307646,1403.338706,0.07916209,106.7858894
"9/4/2023",24,"L6_D_2","L6","Drought","RGB2",2041.104942,818.517544,0.161368899,72.3220897
"9/4/2023",24,"L6_C_8","L6","Control","RGB2",3952.627994,1581.753548,0.109422002,121.726567
"9/4/2023",24,"L9_C_18","L9","Control","RGB2",4327.855208,1714.913731,0.089628319,153.6184834
"9/4/2023",24,"L1_D_13","L1","Drought","RGB2",2289.094987,1199.457815,0.1240319,99.64755334
"9/4/2023",24,"L5_D_5","L5","Drought","RGB2",7166.295341,2248.165519,0.085396269,143.12647
"9/4/2023",24,"L3_D_2","L3","Drought","RGB2",2726.926873,1216.272283,0.129893036,124.7481871
"9/4/2023",24,"L1_C_18","L1","Control","RGB2",2226.585494,1084.524428,0.089387231,110.733087
"9/4/2023",24,"L2_C_9","L2","Control","RGB2",3074.576909,1387.646781,0.079802543,115.8730771
"9/4/2023",24,"L5_C_3","L5","Control","RGB2",6909.331778,2101.735284,0.1275609,150.6514663
"9/4/2023",24,"L8_D_14","L8","Drought","RGB2",3970.277282,1762.295059,0.062502825,137.2142587
"9/4/2023",24,"L4_C_2","L4","Control","RGB2",3978.709336,1590.057386,0.073068186,122.8380199
"9/4/2023",24,"L2_C_7","L2","Control","RGB2",3173.076781,1219.719133,0.106744131,92.99551821
"9/4/2023",24,"L6_D_7","L6","Drought","RGB2",3350.561923,1385.917593,0.098214737,112.0622673
"9/4/2023",24,"L1_C_6","L1","Control","RGB2",2353.997706,869.2355641,0.15516138,63.79924484
"9/4/2023",24,"L7_D_20","L7","Drought","RGB2",2071.900857,1253.085789,0.076399464,134.7703933
"9/4/2023",24,"L3_C_9","L3","Control","RGB2",4279.897561,1588.753526,0.07193423,129.3244451
"9/4/2023",24,"L6_D_15","L6","Drought","RGB2",5303.50282,1915.061749,0.166758391,141.90321
"9/4/2023",24,"L1_D_7","L1","Drought","RGB2",2247.952858,894.4205434,0.102089649,67.71997875
"9/4/2023",24,"L4_D_8","L4","Drought","RGB2",2747.401796,1077.107396,0.201649973,89.63587498
"9/4/2023",24,"L2_C_4","L2","Control","RGB2",3275.577075,1466.757729,0.064515707,110.1738584
"9/4/2023",24,"L5_C_5","L5","Control","RGB2",5045.038199,1898.704236,0.099971119,163.8209137
"9/4/2023",24,"L2_D_7","L2","Drought","RGB2",4211.488548,1602.036111,0.097584391,142.5054385
"9/4/2023",24,"L3_D_5","L3","Drought","RGB2",3823.829127,1479.736136,0.079692647,107.0226295
"9/4/2023",24,"L7_C_2","L7","Control","RGB2",3220.632425,1293.757101,0.110898863,108.681584
"9/4/2023",24,"L9_D_6","L9","Drought","RGB2",3273.85176,1358.402164,0.142340294,109.4312064
"9/4/2023",24,"L6_D_9","L6","Drought","RGB2",3052.745994,1169.487704,0.131766782,77.13346666
"9/4/2023",24,"L8_C_15","L8","Control","RGB2",2641.61841,1286.232986,0.14553026,116.2522854
