"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","FC1_Plant_HL.ind_Fo","FC1_Plant_HL.ind_Fm","FC1_Plant_HL.ind_Fv","FC1_Plant_HL.ind_QY_max","FC1_Plant_HL.ind_Fp","FC1_Plant_HL.ind_Fm_L1","FC1_Plant_HL.ind_Fm_L2","FC1_Plant_HL.ind_Fm_Lss","FC1_Plant_HL.ind_Ft_L1","FC1_Plant_HL.ind_Ft_L2","FC1_Plant_HL.ind_Ft_Lss","FC1_Plant_HL.ind_Fo_L1","FC1_Plant_HL.ind_Fo_L2","FC1_Plant_HL.ind_Fo_Lss","FC1_Plant_HL.ind_Fv_L1","FC1_Plant_HL.ind_Fv_L2","FC1_Plant_HL.ind_Fv_Lss","FC1_Plant_HL.ind_Fq_L1","FC1_Plant_HL.ind_Fq_L2","FC1_Plant_HL.ind_Fq_Lss","FC1_Plant_HL.ind_FvFm_L1","FC1_Plant_HL.ind_FvFm_L2","FC1_Plant_HL.ind_FvFm_Lss","FC1_Plant_HL.ind_QY_L1","FC1_Plant_HL.ind_QY_L2","FC1_Plant_HL.ind_QY_Lss","FC1_Plant_HL.ind_NPQ_L1","FC1_Plant_HL.ind_NPQ_L2","FC1_Plant_HL.ind_NPQ_Lss","FC1_Plant_HL.ind_qN_L1","FC1_Plant_HL.ind_qN_L2","FC1_Plant_HL.ind_qN_Lss","FC1_Plant_HL.ind_qP_L1","FC1_Plant_HL.ind_qP_L2","FC1_Plant_HL.ind_qP_Lss","FC1_Plant_HL.ind_qL_L1","FC1_Plant_HL.ind_qL_L2","FC1_Plant_HL.ind_qL_Lss","FC1_Plant_HL.ind_Rfd_L1","FC1_Plant_HL.ind_Rfd_L2","FC1_Plant_HL.ind_Rfd_Lss"
"9/7/2023",26,"L1_C_5","L1","Control","FC1",1568.264327,9610.175847,8041.911521,0.836812109,7987.769075,6579.457277,4988.351537,4342.588192,5603.789914,3938.851186,3213.660974,1456.981203,1347.937858,1960.86521,5122.476072,3640.413679,2381.722983,975.667363,1049.50035,1128.927218,0.77855602,0.729782906,0.548457021,0.148289946,0.210390215,0.259966446,0.460633521,0.926523377,1.213006489,0.371721601,0.559391332,0.688635605,0.19046792,0.288291508,0.473996021,0.053303933,0.114784049,0.23130973,0.425422651,1.027943859,1.485566816
"9/7/2023",26,"L8_D_8","L8","Drought","FC1",1798.933759,10154.32256,8355.388796,0.822840593,9322.174707,7426.420694,5092.185494,4233.382079,6411.372262,4045.434881,3204.886079,1754.158696,1583.591443,2134.351201,5672.262,3508.594048,2099.030877,1015.048432,1046.750613,1028.496001,0.763794866,0.689015365,0.495828356,0.136680707,0.205560189,0.242949014,0.367323907,0.99409911,1.398631253,0.324743887,0.590630717,0.738274517,0.178949497,0.29833905,0.489986123,0.050210513,0.13266613,0.275033981,0.454006151,1.304368994,1.908738245
"9/7/2023",26,"L7_D_11","L7","Drought","FC1",1543.88196,9643.905638,8100.023679,0.83991113,8517.371962,7547.810896,5564.045958,4392.279554,6552.556763,4482.042976,3365.440792,1479.701067,1371.405945,2106.693313,6068.109829,4192.640014,2285.586239,995.2541331,1082.002982,1026.838762,0.803956261,0.753523613,0.520364474,0.131859972,0.194463344,0.233782652,0.277708964,0.73325413,1.195649325,0.256742065,0.493183419,0.696759738,0.164013863,0.258071997,0.449267126,0.038644159,0.088895333,0.206099425,0.299854739,0.900332506,1.530833994
"9/7/2023",26,"L9_D_2","L9","Drought","FC1",1685.111362,10361.09321,8675.981847,0.837361625,8952.947758,7325.976838,5406.0308,4412.209971,6453.936953,4457.06735,3478.860516,1574.743576,1453.315097,2181.100925,5751.23326,3952.715705,2231.109048,872.0398853,948.9634505,933.3494552,0.785046607,0.731167811,0.505667016,0.11903394,0.175537929,0.21153786,0.414295109,0.916580499,1.348277457,0.345435419,0.556262442,0.727248026,0.15162659,0.240078852,0.418334306,0.039589431,0.090768115,0.202635285,0.387207192,1.008708206,1.573528809
"9/7/2023",26,"L8_D_11","L8","Drought","FC1",1908.8318,11495.98528,9587.153477,0.833956659,10866.99613,8658.12663,6417.321314,5232.281795,7064.001436,5158.576581,4011.781764,1902.021646,1666.493974,2478.050051,6756.104995,4750.827338,2754.231742,1594.125194,1258.744733,1220.50003,0.780319494,0.740313147,0.526392089,0.184118951,0.196147999,0.233263436,0.327768208,0.791399357,1.197126556,0.295796269,0.516676174,0.694582887,0.235953289,0.264952743,0.443136288,0.063759209,0.098040654,0.210847122,0.538362673,1.106588117,1.708770508
"9/7/2023",26,"L7_C_13","L7","Control","FC1",1793.644805,9617.155049,7823.510249,0.813495281,9053.657915,7396.198572,5374.229728,4446.308903,6389.113573,4314.035746,3359.535868,1737.791421,1616.916574,2205.330901,5658.407153,3757.313151,2240.978003,1007.084999,1060.193982,1086.773035,0.765042623,0.699135195,0.504008617,0.136162515,0.197273663,0.244421397,0.300283511,0.789494595,1.16295252,0.281870032,0.530349856,0.69764825,0.177980299,0.282168118,0.484954798,0.049965216,0.117316918,0.258915722,0.417044448,1.098651575,1.694913307
"9/7/2023",26,"L5_C_8","L5","Control","FC1",1903.210452,11301.01843,9397.807979,0.831589475,9695.939529,8522.784361,6430.470281,5242.323734,7583.398075,5236.409749,3980.246491,1944.315636,1701.694837,2574.537865,6578.468727,4728.775441,2667.785869,939.3862858,1194.060532,1262.077243,0.771868494,0.735370079,0.508893766,0.110220586,0.185687902,0.240747674,0.325977281,0.7574171,1.155726927,0.296924476,0.507384515,0.694288454,0.142797104,0.25250946,0.473080414,0.035837884,0.091776363,0.226210007,0.278574517,0.851638812,1.436014843
"9/7/2023",26,"L9_D_5","L9","Drought","FC1",1397.727789,8450.175789,7052.447996,0.834591868,7085.684648,5869.003607,4490.77726,3941.523406,4963.956795,3484.925399,2848.739287,969.9813325,1205.10013,1752.783304,4899.022281,3285.677129,2188.740102,905.0468116,1005.85186,1092.784119,0.834728109,0.731649988,0.555303084,0.154207915,0.223981686,0.277249177,0.439797341,0.881673327,1.143885731,0.345067524,0.546495125,0.673195187,0.184740293,0.306132289,0.499275413,0.05201831,0.122783003,0.244968405,0.427426736,1.033238545,1.487305413
"9/7/2023",26,"L7_C_7","L7","Control","FC1",1431.847888,8790.174412,7358.326527,0.837108137,7705.269868,6449.996635,4627.443348,3761.521047,5486.821594,3630.865924,2839.783689,1354.537769,1242.226478,1820.166237,5095.458865,3385.216872,1941.35481,963.1750408,996.5774243,921.7373579,0.789994035,0.73155231,0.516108985,0.149329542,0.215362426,0.245043786,0.362818449,0.899574722,1.336867002,0.314724601,0.551505005,0.721470225,0.189026164,0.294391013,0.474790777,0.049328506,0.116094386,0.23939435,0.404323019,1.122157642,1.713329856
"9/7/2023",26,"L7_C_17","L7","Control","FC1",1500.31956,9389.666329,7889.346775,0.840215882,8112.672125,6675.973819,4911.62705,4100.256142,5668.703858,3821.455367,3014.5692,1404.082219,1289.763539,1876.178058,5271.891604,3621.863512,2224.078083,1007.269961,1090.171682,1085.686942,0.789681288,0.737406052,0.542424182,0.150879855,0.221957341,0.264785151,0.406486392,0.911722171,1.290019454,0.339823922,0.55285099,0.703988613,0.19106424,0.30099745,0.48815145,0.050568423,0.118172874,0.242947871,0.431133523,1.122927352,1.691154718
