"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","VNIR_Plant_PRI","VNIR_Plant_NDVI","VNIR_Plant_PSRI","VNIR_Plant_SIPI","VNIR_Plant_MCARI1"
"9/10/2023",30,"L9_D_17","L9","Drought","VNIR",0.080884695,0.63182896,-0.10292839,0.5344483,1.3709449
"9/10/2023",30,"L2_D_6","L2","Drought","VNIR",0.084984906,0.64849174,-0.10941706,0.54360753,1.4077017
"9/10/2023",30,"L6_C_6","L6","Control","VNIR",0.09438047,0.710651,-0.1039479,0.60243815,1.456865
"9/10/2023",30,"L6_D_6","L6","Drought","VNIR",0.08828897,0.68356997,-0.10008195,0.57963234,1.413485
"9/10/2023",30,"L7_D_10","L7","Drought","VNIR",0.08081146,0.62698627,-0.115594015,0.51959854,1.3717813
"9/10/2023",30,"L9_C_13","L9","Control","VNIR",0.08653806,0.7062311,-0.09232047,0.61116874,1.481951
"9/10/2023",30,"L9_D_4","L9","Drought","VNIR",0.07680322,0.6738538,-0.089469746,0.57976246,1.4196681
"9/10/2023",30,"L9_D_15","L9","Drought","VNIR",0.08817479,0.674748,-0.10713882,0.56178665,1.426517
"9/10/2023",30,"L8_C_11","L8","Control","VNIR",0.074084036,0.6590299,-0.088830255,0.5646155,1.4141519
"9/10/2023",30,"L8_C_7","L8","Control","VNIR",0.08883106,0.67295367,-0.11465575,0.5500228,1.4549309
"9/10/2023",30,"L6_C_11","L6","Control","VNIR",0.089281395,0.675731,-0.10068827,0.574086,1.4074886
"9/10/2023",30,"L6_D_13","L6","Drought","VNIR",0.08653536,0.6743871,-0.10084823,0.56864023,1.4190245
"9/10/2023",30,"L3_D_8","L3","Drought","VNIR",0.08377478,0.6674467,-0.102148,0.5626979,1.4346842
"9/10/2023",30,"L5_D_7","L5","Drought","VNIR",0.084102035,0.67383176,-0.10559263,0.56537616,1.4384139
"9/10/2023",30,"L8_C_16","L8","Control","VNIR",0.07639999,0.6509156,-0.09084013,0.560351,1.3879778
"9/10/2023",30,"L8_C_20","L8","Control","VNIR",0.07363989,0.67769206,-0.07998095,0.5965296,1.4411159
"9/10/2023",30,"L7_D_19","L7","Drought","VNIR",0.08449511,0.6264216,-0.11528569,0.51685923,1.3643243
"9/10/2023",30,"L8_D_4","L8","Drought","VNIR",0.08499395,0.6805903,-0.099031016,0.5778711,1.4452827
"9/10/2023",30,"L2_C_5","L2","Control","VNIR",0.07830016,0.66105896,-0.0999485,0.55963147,1.4332129
"9/10/2023",30,"L2_C_6","L2","Control","VNIR",0.08652171,0.6800739,-0.1035268,0.5747384,1.4486538
"9/10/2023",30,"L4_D_6","L4","Drought","VNIR",0.07691774,0.70404243,-0.08795153,0.6113231,1.4718853
"9/10/2023",30,"L6_C_2","L6","Control","VNIR",0.09439042,0.68204343,-0.11368992,0.5685091,1.4369091
"9/10/2023",30,"L2_D_2","L2","Drought","VNIR",0.07883137,0.64041406,-0.102570444,0.54443514,1.4024632
"9/10/2023",30,"L1_C_15","L1","Control","VNIR",0.08755848,0.70320565,-0.105617024,0.5888778,1.4991517
"9/10/2023",30,"L6_D_16","L6","Drought","VNIR",0.084864676,0.6699664,-0.092960685,0.5732609,1.3918518
"9/10/2023",30,"L1_C_19","L1","Control","VNIR",0.08583459,0.6680224,-0.10974141,0.55662465,1.4561768
"9/10/2023",30,"L6_C_1","L6","Control","VNIR",0.08912618,0.69528663,-0.1001978,0.59125817,1.4586091
"9/10/2023",30,"L9_C_20","L9","Control","VNIR",0.08726148,0.7038967,-0.09798114,0.60089594,1.4764991
"9/10/2023",30,"L1_C_1","L1","Control","VNIR",0.088431716,0.6984642,-0.1115434,0.58458275,1.4893668
"9/10/2023",30,"L3_D_9","L3","Drought","VNIR",0.07644332,0.6848728,-0.088346526,0.59017396,1.4570055
"9/10/2023",30,"L8_D_19","L8","Drought","VNIR",0.058143474,0.606241,-0.06371954,0.5446903,1.3294253
"9/10/2023",30,"L7_D_13","L7","Drought","VNIR",0.064765714,0.59634006,-0.07519326,0.5246654,1.2946544
"9/10/2023",30,"L7_C_7","L7","Control","VNIR",0.092116274,0.6921781,-0.10638897,0.5766556,1.4397626
"9/10/2023",30,"L6_D_10","L6","Drought","VNIR",0.08432018,0.6602383,-0.100995794,0.5580873,1.4134718
"9/10/2023",30,"L1_D_4","L1","Drought","VNIR",0.07715569,0.6326622,-0.09826962,0.53470033,1.3640215
"9/10/2023",30,"L9_D_16","L9","Drought","VNIR",0.08466521,0.65479237,-0.099220134,0.5553805,1.3904318
"9/10/2023",30,"L6_D_11","L6","Drought","VNIR",0.09607437,0.6699516,-0.10952362,0.55985624,1.398842
"9/10/2023",30,"L7_C_15","L7","Control","VNIR",0.09672349,0.639033,-0.13197596,0.51226676,1.4028422
"9/10/2023",30,"L1_C_10","L1","Control","VNIR",0.08892137,0.66911566,-0.11182483,0.55425245,1.4355773
"9/10/2023",30,"L3_C_4","L3","Control","VNIR",0.089096025,0.71796274,-0.102857456,0.60810953,1.5141288
"9/10/2023",30,"L8_C_15","L8","Control","VNIR",0.07271719,0.6350478,-0.08923023,0.54692006,1.3895751
"9/10/2023",30,"L1_C_7","L1","Control","VNIR",0.07682227,0.6763267,-0.090155855,0.58319366,1.4469033
"9/10/2023",30,"L6_D_18","L6","Drought","VNIR",0.07539343,0.6495296,-0.08878096,0.5584442,1.3721769
"9/10/2023",30,"L7_C_3","L7","Control","VNIR",0.09924655,0.6899423,-0.1198816,0.5664272,1.445422
"9/10/2023",30,"L1_C_17","L1","Control","VNIR",0.08018112,0.7128515,-0.090967834,0.616943,1.5078402
"9/10/2023",30,"L7_C_9","L7","Control","VNIR",0.085645035,0.6931748,-0.102294944,0.588386,1.4515686
"9/10/2023",30,"L2_C_4","L2","Control","VNIR",0.09087036,0.690517,-0.110571116,0.58066046,1.4697694
"9/10/2023",30,"L7_C_16","L7","Control","VNIR",0.08751678,0.6749434,-0.10494226,0.5690046,1.4363699
"9/10/2023",30,"L7_D_16","L7","Drought","VNIR",0.08059781,0.63239235,-0.09647578,0.53709906,1.3454344
"9/10/2023",30,"L7_C_13","L7","Control","VNIR",0.09078299,0.69720536,-0.10715594,0.58814764,1.466279
"9/10/2023",30,"L8_C_8","L8","Control","VNIR",0.08050089,0.70789266,-0.08440986,0.6156965,1.4723325
"9/10/2023",30,"L1_D_8","L1","Drought","VNIR",0.08050308,0.68925947,-0.095497034,0.5897152,1.458781
"9/10/2023",30,"L1_C_20","L1","Control","VNIR",0.085125424,0.7075678,-0.09879055,0.6056686,1.4974923
"9/10/2023",30,"L4_C_3","L4","Control","VNIR",0.08807821,0.70916027,-0.09747596,0.60726905,1.4712408
"9/10/2023",30,"L1_C_16","L1","Control","VNIR",0.085281566,0.7303203,-0.09350187,0.6295297,1.5185181
"9/10/2023",30,"L8_D_7","L8","Drought","VNIR",0.08802956,0.7537097,-0.08767442,0.65470386,1.537314
"9/10/2023",30,"L2_D_3","L2","Drought","VNIR",0.08107878,0.66027975,-0.09716553,0.5634798,1.4122438
"9/10/2023",30,"L5_D_8","L5","Drought","VNIR",0.080413796,0.6764805,-0.0972955,0.5727213,1.4305325
"9/10/2023",30,"L8_C_1","L8","Control","VNIR",0.07655102,0.6702017,-0.09068304,0.5817501,1.4407865
"9/10/2023",30,"L2_D_4","L2","Drought","VNIR",0.06746284,0.6108201,-0.08901118,0.5243671,1.3497214
"9/10/2023",30,"L2_D_9","L2","Drought","VNIR",0.0840095,0.65717375,-0.10168542,0.5527293,1.4186268
"9/10/2023",30,"L5_C_1","L5","Control","VNIR",0.08964705,0.7211719,-0.10564741,0.6029867,1.5014409
"9/10/2023",30,"L9_D_10","L9","Drought","VNIR",0.07596328,0.646769,-0.09155811,0.5542336,1.3800416
"9/10/2023",30,"L6_D_14","L6","Drought","VNIR",0.08385919,0.70449996,-0.08672942,0.6114359,1.4288056
"9/10/2023",30,"L9_C_7","L9","Control","VNIR",0.08161164,0.7071029,-0.08984212,0.6090461,1.4722052
"9/10/2023",30,"L3_C_1","L3","Control","VNIR",0.08516282,0.73062855,-0.09362447,0.6283746,1.5232745
"9/10/2023",30,"L5_C_9","L5","Control","VNIR",0.08346464,0.6919169,-0.10442224,0.5814507,1.4875414
"9/10/2023",30,"L1_C_3","L1","Control","VNIR",0.090120316,0.7400687,-0.0915529,0.6418183,1.5050807
"9/10/2023",30,"L1_D_5","L1","Drought","VNIR",0.080108814,0.742049,-0.07806638,0.6563201,1.5023837
"9/10/2023",30,"L7_D_18","L7","Drought","VNIR",0.08589838,0.64961135,-0.10864037,0.5432024,1.389354
"9/10/2023",30,"L7_D_9","L7","Drought","VNIR",0.08461171,0.6875924,-0.09539355,0.58892477,1.4288216
"9/10/2023",30,"L5_C_8","L5","Control","VNIR",0.07823293,0.7095182,-0.082502484,0.61994153,1.4710805
"9/10/2023",30,"L9_C_16","L9","Control","VNIR",0.08947611,0.70610934,-0.09305279,0.60879266,1.4601663
"9/10/2023",30,"L8_D_15","L8","Drought","VNIR",0.089552745,0.6950743,-0.094516,0.60152304,1.436056
"9/10/2023",30,"L9_D_3","L9","Drought","VNIR",0.079040356,0.6636881,-0.09443632,0.5669882,1.4123917
"9/10/2023",30,"L9_D_9","L9","Drought","VNIR",0.08610231,0.6560664,-0.10914156,0.5463417,1.4124897
"9/10/2023",30,"L9_C_14","L9","Control","VNIR",0.091444686,0.7007249,-0.111160286,0.5836878,1.4835445
"9/10/2023",30,"L1_C_4","L1","Control","VNIR",0.08251738,0.70317966,-0.09097842,0.6065549,1.4789686
"9/10/2023",30,"L7_C_20","L7","Control","VNIR",0.0833752,0.6463173,-0.10535106,0.543304,1.3896313
"9/10/2023",30,"L7_D_4","L7","Drought","VNIR",0.086545154,0.6772255,-0.10264454,0.5697724,1.4182059
"9/10/2023",30,"L4_D_8","L4","Drought","VNIR",0.08380272,0.6805255,-0.10175028,0.57597303,1.4545354
"9/10/2023",30,"L3_D_7","L3","Drought","VNIR",0.07615817,0.67012787,-0.091284126,0.5743886,1.4421577
"9/10/2023",30,"L4_D_2","L4","Drought","VNIR",0.08654211,0.7172673,-0.093810104,0.61963046,1.4776021
"9/10/2023",30,"L9_C_8","L9","Control","VNIR",0.08337067,0.6687841,-0.09728011,0.56966275,1.4259923
"9/10/2023",30,"L3_C_5","L3","Control","VNIR",0.08698583,0.7247993,-0.09702035,0.62604064,1.51293
"9/10/2023",30,"L1_D_14","L1","Drought","VNIR",0.0838681,0.7000846,-0.09569786,0.5974638,1.4623733
"9/10/2023",30,"L8_C_19","L8","Control","VNIR",0.091825776,0.7071482,-0.104253486,0.6025016,1.4776909
