"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","IR1_Plant_Temp","Probes_T4.unit","IR1.Probes_Plant_deltaT"
"9/5/2023",25,"L6_D_2","L6","Drought","IR1",26.58795357,25,1.587953568
"9/5/2023",25,"L6_D_3","L6","Drought","IR1",27.58951187,25.39999962,2.189512253
"9/5/2023",25,"L6_D_4","L6","Drought","IR1",27.24659729,25.5,1.74659729
"9/5/2023",25,"L6_D_5","L6","Drought","IR1",27.11833382,25.60000038,1.518333435
"9/5/2023",25,"L6_D_6","L6","Drought","IR1",24.37799454,23.89999962,0.477994919
"9/5/2023",25,"L6_D_7","L6","Drought","IR1",27.20959663,25.10000038,2.109596252
"9/5/2023",25,"L6_D_8","L6","Drought","IR1",26.41578484,25.79999924,0.615785599
"9/5/2023",25,"L6_D_9","L6","Drought","IR1",27.09927368,25.20000076,1.899272919
"9/5/2023",25,"L6_C_10","L6","Control","IR1",26.26111221,25.5,0.761112213
"9/5/2023",25,"L6_C_11","L6","Control","IR1",25.24978256,24.10000038,1.149782181
"9/5/2023",25,"L6_C_12","L6","Control","IR1",24.10546494,23.29999924,0.805465698
"9/5/2023",25,"L6_C_13","L6","Control","IR1",24.34287071,23.60000038,0.742870331
"9/5/2023",25,"L6_C_14","L6","Control","IR1",25.92796898,24.5,1.427968979
"9/5/2023",25,"L6_C_15","L6","Control","IR1",26.07413864,25.29999924,0.774139404
"9/5/2023",25,"L6_C_16","L6","Control","IR1",25.49283028,25.29999924,0.192831039
"9/5/2023",25,"L6_C_18","L6","Control","IR1",26.18544388,25.70000076,0.485443115
"9/5/2023",25,"L6_D_10","L6","Drought","IR1",26.61868477,25.79999924,0.818685532
"9/5/2023",25,"L6_D_11","L6","Drought","IR1",26.74487305,25.79999924,0.94487381
"9/5/2023",25,"L6_D_12","L6","Drought","IR1",26.49251556,25.79999924,0.692516327
"9/5/2023",25,"L6_D_13","L6","Drought","IR1",26.99835396,25.79999924,1.198354721
"9/5/2023",25,"L6_D_14","L6","Drought","IR1",25.23858643,24.60000038,0.638586044
"9/5/2023",25,"L6_D_15","L6","Drought","IR1",26.48677444,25.10000038,1.386774063
"9/5/2023",25,"L6_D_16","L6","Drought","IR1",25.89006805,24.79999924,1.090068817
"9/5/2023",25,"L6_D_17","L6","Drought","IR1",26.77314758,25.39999962,1.373147964
"9/5/2023",25,"L6_D_18","L6","Drought","IR1",26.32291031,25.5,0.822910309
"9/5/2023",25,"L9_C_1","L9","Control","IR1",26.71657372,25.79999924,0.916574478
"9/5/2023",25,"L9_C_10","L9","Control","IR1",26.4584713,25.70000076,0.758470535
"9/5/2023",25,"L9_C_11","L9","Control","IR1",26.48583984,25.70000076,0.785839081
"9/5/2023",25,"L9_C_12","L9","Control","IR1",26.56022835,25.79999924,0.760229111
"9/5/2023",25,"L9_C_13","L9","Control","IR1",26.75311279,25.79999924,0.953113556
"9/5/2023",25,"L9_C_14","L9","Control","IR1",25.1132164,24.70000076,0.413215637
"9/5/2023",25,"L9_C_15","L9","Control","IR1",25.93209457,24.70000076,1.232093811
"9/5/2023",25,"L9_C_16","L9","Control","IR1",25.89479256,25,0.894792557
"9/5/2023",25,"L9_C_17","L9","Control","IR1",27.12194443,25,2.121944427
"9/5/2023",25,"L9_C_18","L9","Control","IR1",26.08494568,25,1.084945679
"9/5/2023",25,"L9_C_19","L9","Control","IR1",25.10112953,23.5,1.601129532
"9/5/2023",25,"L9_C_2","L9","Control","IR1",27.21940422,25.60000038,1.619403839
"9/5/2023",25,"L9_C_20","L9","Control","IR1",25.96436882,23.60000038,2.364368439
"9/5/2023",25,"L9_C_3","L9","Control","IR1",25.53287697,24.79999924,0.732877731
"9/5/2023",25,"L9_C_4","L9","Control","IR1",25.40301704,24.89999962,0.503017426
"9/5/2023",25,"L9_C_5","L9","Control","IR1",25.6386795,25.39999962,0.238679886
"9/5/2023",25,"L9_C_6","L9","Control","IR1",26.42683983,24.39999962,2.02684021
"9/5/2023",25,"L9_C_7","L9","Control","IR1",26.01601601,24.79999924,1.216016769
"9/5/2023",25,"L9_C_8","L9","Control","IR1",26.29024696,24.79999924,1.490247726
"9/5/2023",25,"L9_C_9","L9","Control","IR1",26.23291779,25.79999924,0.432918549
"9/5/2023",25,"L9_D_1","L9","Drought","IR1",25.77589989,23.70000076,2.075899124
"9/5/2023",25,"L9_D_10","L9","Drought","IR1",25.62129784,25.29999924,0.321298599
"9/5/2023",25,"L9_D_11","L9","Drought","IR1",27.43121338,25.70000076,1.731212616
"9/5/2023",25,"L9_D_12","L9","Drought","IR1",26.28054619,25.39999962,0.88054657
"9/5/2023",25,"L9_D_13","L9","Drought","IR1",25.80733871,23.70000076,2.107337952
"9/5/2023",25,"L9_D_14","L9","Drought","IR1",25.35485458,23.89999962,1.454854965
"9/5/2023",25,"L9_D_15","L9","Drought","IR1",26.47052765,25.89999962,0.57052803
"9/5/2023",25,"L9_D_16","L9","Drought","IR1",25.6144371,24.20000076,1.41443634
"9/5/2023",25,"L9_D_17","L9","Drought","IR1",26.33946037,24.60000038,1.739459991
"9/5/2023",25,"L9_D_18","L9","Drought","IR1",26.49273109,25.70000076,0.792730331
"9/5/2023",25,"L9_D_19","L9","Drought","IR1",27.6535759,25.79999924,1.85357666
"9/5/2023",25,"L9_D_2","L9","Drought","IR1",26.02372742,23.79999924,2.22372818
"9/5/2023",25,"L9_D_20","L9","Drought","IR1",26.21135902,25.70000076,0.511358261
"9/5/2023",25,"L9_D_3","L9","Drought","IR1",25.61454964,24.5,1.114549637
"9/5/2023",25,"L9_D_4","L9","Drought","IR1",25.13155174,24,1.131551743
"9/5/2023",25,"L9_D_5","L9","Drought","IR1",25.64493942,23.89999962,1.744939804
"9/5/2023",25,"L9_D_6","L9","Drought","IR1",26.18130875,25.20000076,0.981307983
"9/5/2023",25,"L9_D_7","L9","Drought","IR1",26.1705265,25.39999962,0.770526886
"9/5/2023",25,"L9_D_8","L9","Drought","IR1",27.77256012,25.60000038,2.172559738
"9/5/2023",25,"L9_D_9","L9","Drought","IR1",25.66906929,23.20000076,2.469068527
"9/9/2023",29,"L3_C_1","L3","Control","IR1",25.36874771,23.89999962,1.468748093
