"Date","DAT","Plant.ID","Plant.Name","Treatment","PID","RGB1_Plant_RGB.138.139.97","RGB1_Plant_RGB.68.85.63"
"9/8/2023",28,"L7_C_11","L7","Control","RGB1",0.363825356,99.63617464
"9/8/2023",28,"L7_C_12","L7","Control","RGB1",0.256591647,99.74340835
"9/8/2023",28,"L7_C_13","L7","Control","RGB1",0.58984271,99.41015729
"9/8/2023",28,"L7_C_14","L7","Control","RGB1",1.17659286,98.82340714
"9/8/2023",28,"L7_C_15","L7","Control","RGB1",0.504562021,99.49543798
"9/8/2023",28,"L7_C_16","L7","Control","RGB1",1.307284844,98.69271516
"9/8/2023",28,"L7_C_17","L7","Control","RGB1",0.612606583,99.38739342
"9/8/2023",28,"L7_C_18","L7","Control","RGB1",1.714020772,98.28597923
"9/8/2023",28,"L7_C_19","L7","Control","RGB1",0.319398914,99.68060109
"9/8/2023",28,"L7_C_2","L7","Control","RGB1",0.034893802,99.9651062
"9/8/2023",28,"L7_C_20","L7","Control","RGB1",2.639762596,97.3602374
"9/8/2023",28,"L7_C_3","L7","Control","RGB1",0.806843638,99.19315636
"9/8/2023",28,"L7_C_4","L7","Control","RGB1",2.040544416,97.95945558
"9/8/2023",28,"L7_C_5","L7","Control","RGB1",1.540819279,98.45918072
"9/8/2023",28,"L7_C_6","L7","Control","RGB1",0.037932009,99.96206799
"9/8/2023",28,"L7_C_7","L7","Control","RGB1",0.948875584,99.05112442
"9/8/2023",28,"L7_C_8","L7","Control","RGB1",2.146033386,97.85396661
"9/8/2023",28,"L7_C_9","L7","Control","RGB1",0.778528489,99.22147151
"9/8/2023",28,"L7_D_1","L7","Drought","RGB1",0.525648638,99.47435136
"9/8/2023",28,"L7_D_10","L7","Drought","RGB1",0.613286418,99.38671358
"9/8/2023",28,"L7_D_11","L7","Drought","RGB1",1.108149714,98.89185029
"9/8/2023",28,"L7_D_12","L7","Drought","RGB1",0.431100693,99.56889931
"9/8/2023",28,"L7_D_13","L7","Drought","RGB1",2.048868535,97.95113146
"9/8/2023",28,"L7_D_14","L7","Drought","RGB1",6.858414281,93.14158572
"9/8/2023",28,"L7_D_15","L7","Drought","RGB1",1.005729875,98.99427012
"9/8/2023",28,"L7_D_16","L7","Drought","RGB1",1.286103848,98.71389615
"9/8/2023",28,"L7_D_17","L7","Drought","RGB1",1.571214223,98.42878578
"9/8/2023",28,"L7_D_18","L7","Drought","RGB1",0.81795839,99.18204161
"9/8/2023",28,"L7_D_19","L7","Drought","RGB1",1.45809248,98.54190752
"9/8/2023",28,"L7_D_2","L7","Drought","RGB1",1.730356235,98.26964376
"9/8/2023",28,"L7_D_20","L7","Drought","RGB1",0.8394309,99.1605691
"9/8/2023",28,"L7_D_3","L7","Drought","RGB1",1.045817601,98.9541824
"9/8/2023",28,"L7_D_4","L7","Drought","RGB1",1.746848318,98.25315168
"9/8/2023",28,"L7_D_5","L7","Drought","RGB1",1.197508938,98.80249106
"9/8/2023",28,"L7_D_6","L7","Drought","RGB1",0.891516032,99.10848397
"9/8/2023",28,"L7_D_7","L7","Drought","RGB1",1.721272664,98.27872734
"9/8/2023",28,"L7_D_8","L7","Drought","RGB1",2.955789941,97.04421006
"9/8/2023",28,"L7_D_9","L7","Drought","RGB1",1.194560697,98.8054393
"9/8/2023",28,"L8_C_1","L8","Control","RGB1",4.674261257,95.32573874
"9/8/2023",28,"L8_C_10","L8","Control","RGB1",2.847387349,97.15261265
